movieid,genreid,genrename
2054,10402,Music
2054,10751,Family
2055,37,Western
2055,28,Action
2055,18,Drama
2056,18,Drama
2056,35,Comedy
2057,53,Thriller
2058,35,Comedy
2058,10749,Romance
2059,12,Adventure
2059,28,Action
2059,53,Thriller
2059,9648,Mystery
2060,18,Drama
2061,28,Action
2061,80,Crime
2061,18,Drama
2061,53,Thriller
2062,16,Animation
2062,35,Comedy
2062,10751,Family
2062,14,Fantasy
2064,10749,Romance
2064,35,Comedy
2065,18,Drama
2065,35,Comedy
2065,10749,Romance
2067,878,Science Fiction
2067,53,Thriller
2069,35,Comedy
2069,80,Crime
2070,35,Comedy
2071,9648,Mystery
2071,53,Thriller
2072,878,Science Fiction
2074,35,Comedy
2075,10749,Romance
2075,35,Comedy
2075,80,Crime
2075,18,Drama
2076,28,Action
2076,80,Crime
2076,18,Drama
2076,53,Thriller
2077,35,Comedy
2078,35,Comedy
2079,35,Comedy
2080,12,Adventure
2080,28,Action
2080,53,Thriller
2080,878,Science Fiction
2082,27,Horror
2083,35,Comedy
2083,14,Fantasy
2083,53,Thriller
2083,28,Action
2084,35,Comedy
2084,80,Crime
2084,53,Thriller
2085,28,Action
2085,80,Crime
2085,53,Thriller
2086,53,Thriller
2086,80,Crime
2086,28,Action
2087,28,Action
2087,80,Crime
2087,18,Drama
2087,9648,Mystery
2087,10749,Romance
2087,53,Thriller
2088,80,Crime
2089,28,Action
2089,53,Thriller
2089,10770,TV Movie
2090,28,Action
2090,53,Thriller
2091,80,Crime
2091,53,Thriller
2092,53,Thriller
2093,28,Action
2093,27,Horror
2093,53,Thriller
2094,10402,Music
2094,10749,Romance
2095,53,Thriller
2095,28,Action
2096,28,Action
2096,878,Science Fiction
2097,27,Horror
2097,878,Science Fiction
2097,28,Action
2098,35,Comedy
2098,18,Drama
2098,10402,Music
2098,10749,Romance
2099,28,Action
2099,80,Crime
2099,53,Thriller
2100,28,Action
2100,18,Drama
2100,53,Thriller
2101,878,Science Fiction
2102,878,Science Fiction
2103,18,Drama
2103,878,Science Fiction
2103,9648,Mystery
2104,28,Action
2104,27,Horror
2104,53,Thriller
2105,35,Comedy
2105,10749,Romance
2106,35,Comedy
2106,53,Thriller
2107,35,Comedy
2107,14,Fantasy
2107,10749,Romance
2108,35,Comedy
2108,18,Drama
2109,28,Action
2109,35,Comedy
2109,80,Crime
2110,18,Drama
2110,28,Action
2110,35,Comedy
2111,18,Drama
2112,80,Crime
2112,28,Action
2112,18,Drama
2114,12,Adventure
2114,28,Action
2114,14,Fantasy
2114,878,Science Fiction
2114,53,Thriller
2114,10749,Romance
2114,16,Animation
2115,10402,Music
2115,18,Drama
2116,53,Thriller
2116,80,Crime
2116,18,Drama
2117,18,Drama
2117,36,History
2118,80,Crime
2118,18,Drama
2118,9648,Mystery
2118,53,Thriller
2119,12,Adventure
2119,28,Action
2119,18,Drama
2120,16,Animation
2120,10751,Family
2122,35,Comedy
2122,53,Thriller
2122,80,Crime
2123,35,Comedy
2124,10749,Romance
2124,53,Thriller
2124,18,Drama
2125,28,Action
2125,878,Science Fiction
2125,53,Thriller
2126,18,Drama
2126,35,Comedy
2126,53,Thriller
2126,10749,Romance
2131,10770,TV Movie
2131,18,Drama
2131,53,Thriller
2131,10752,War
2132,35,Comedy
2133,28,Action
2133,12,Adventure
2133,18,Drama
2133,53,Thriller
2134,53,Thriller
2134,12,Adventure
2134,14,Fantasy
2134,878,Science Fiction
2134,10749,Romance
2135,878,Science Fiction
2135,12,Adventure
2135,28,Action
2136,35,Comedy
2137,14,Fantasy
2137,28,Action
2137,12,Adventure
2138,35,Comedy
2138,27,Horror
2139,28,Action
2139,12,Adventure
2139,18,Drama
2140,28,Action
2140,80,Crime
2140,53,Thriller
2141,18,Drama
2141,10770,TV Movie
2142,28,Action
2142,80,Crime
2142,18,Drama
2143,10752,War
2143,18,Drama
2143,10749,Romance
2144,35,Comedy
2144,80,Crime
2145,35,Comedy
2145,10402,Music
2147,99,Documentary
2148,80,Crime
2148,18,Drama
2149,18,Drama
2149,53,Thriller
2149,10749,Romance
2151,35,Comedy
2151,27,Horror
2151,878,Science Fiction
2152,10402,Music
2152,99,Documentary
2153,28,Action
2153,80,Crime
2153,18,Drama
2153,53,Thriller
2154,27,Horror
2154,28,Action
2154,53,Thriller
2154,878,Science Fiction
2155,53,Thriller
2155,28,Action
2155,80,Crime
2155,18,Drama
2156,53,Thriller
2156,10749,Romance
2157,878,Science Fiction
2157,12,Adventure
2160,12,Adventure
2160,18,Drama
2160,878,Science Fiction
2161,12,Adventure
2161,878,Science Fiction
2162,28,Action
2162,35,Comedy
2162,53,Thriller
2163,80,Crime
2163,18,Drama
2163,9648,Mystery
2163,53,Thriller
2164,28,Action
2164,12,Adventure
2164,878,Science Fiction
2165,53,Thriller
2165,28,Action
2165,18,Drama
2166,35,Comedy
2166,80,Crime
2166,10749,Romance
2168,18,Drama
2169,35,Comedy
2170,35,Comedy
2170,18,Drama
2171,35,Comedy
2172,12,Adventure
2173,35,Comedy
2175,99,Documentary
2176,18,Drama
2176,53,Thriller
2178,99,Documentary
2178,36,History
2179,35,Comedy
2179,10402,Music
2180,18,Drama
2180,35,Comedy
2181,10402,Music
2181,35,Comedy
2181,10749,Romance
2182,35,Comedy
2182,27,Horror
2182,878,Science Fiction
2183,99,Documentary
2184,53,Thriller
2185,28,Action
2185,35,Comedy
2185,53,Thriller
2185,9648,Mystery
2186,27,Horror
2187,35,Comedy
2188,10402,Music
2189,35,Comedy
2189,10749,Romance
2191,878,Science Fiction
2192,28,Action
2192,12,Adventure
2192,18,Drama
2193,35,Comedy
2193,18,Drama
2193,10749,Romance
2194,35,Comedy
2194,18,Drama
2195,18,Drama
2195,28,Action
2195,53,Thriller
2196,35,Comedy
2196,18,Drama
2197,18,Drama
2197,10752,War
2198,35,Comedy
2199,35,Comedy
2199,27,Horror
2200,36,History
2200,18,Drama
2200,35,Comedy
2202,12,Adventure
2202,18,Drama
2202,10751,Family
2203,99,Documentary
2204,18,Drama
2205,35,Comedy
2206,10402,Music
2206,35,Comedy
2207,28,Action
2207,12,Adventure
2207,80,Crime
2207,53,Thriller
2209,18,Drama
2209,35,Comedy
2209,10749,Romance
2210,35,Comedy
2210,878,Science Fiction
2211,18,Drama
2211,36,History
2211,10749,Romance
2212,18,Drama
2212,27,Horror
2212,9648,Mystery
2212,53,Thriller
2213,18,Drama
2213,10770,TV Movie
2214,18,Drama
2214,35,Comedy
2215,18,Drama
2215,36,History
2216,10752,War
2216,18,Drama
2217,18,Drama
2217,10749,Romance
2218,18,Drama
2219,10749,Romance
2219,18,Drama
2220,18,Drama
2221,10402,Music
2221,99,Documentary
2222,18,Drama
2223,10752,War
2223,18,Drama
2225,28,Action
2225,18,Drama
2226,35,Comedy
2227,18,Drama
2227,10752,War
2228,35,Comedy
2229,18,Drama
2229,53,Thriller
2231,12,Adventure
2231,37,Western
2231,35,Comedy
2232,18,Drama
2232,10749,Romance
2233,18,Drama
2233,35,Comedy
2233,10749,Romance
2234,18,Drama
2235,99,Documentary
2236,99,Documentary
2237,18,Drama
2237,35,Comedy
2238,99,Documentary
2239,18,Drama
2239,35,Comedy
2239,53,Thriller
2240,80,Crime
2240,18,Drama
2241,35,Comedy
2242,18,Drama
2244,99,Documentary
2245,99,Documentary
2245,10402,Music
2246,53,Thriller
2247,10402,Music
2249,18,Drama
2249,10770,TV Movie
2250,18,Drama
2250,36,History
2251,53,Thriller
2251,18,Drama
2252,53,Thriller
2252,80,Crime
2252,9648,Mystery
2253,18,Drama
2253,53,Thriller
2253,36,History
2253,10752,War
2254,18,Drama
2254,80,Crime
2255,35,Comedy
2255,18,Drama
2255,10749,Romance
2257,18,Drama
2258,18,Drama
2259,10749,Romance
2259,18,Drama
2260,99,Documentary
2261,10402,Music
2261,99,Documentary
2262,18,Drama
2263,80,Crime
2263,18,Drama
2263,53,Thriller
2264,18,Drama
2264,10749,Romance
2265,35,Comedy
2265,14,Fantasy
2265,878,Science Fiction
2265,10751,Family
2265,9648,Mystery
2266,18,Drama
2266,10749,Romance
2267,18,Drama
2267,878,Science Fiction
2267,12,Adventure
2268,12,Adventure
2268,14,Fantasy
2269,14,Fantasy
2269,878,Science Fiction
2270,12,Adventure
2270,14,Fantasy
2270,10749,Romance
2270,10751,Family
2274,12,Adventure
2274,18,Drama
2274,14,Fantasy
2274,10751,Family
2274,53,Thriller
2275,53,Thriller
2275,9648,Mystery
2275,18,Drama
2275,80,Crime
2277,878,Science Fiction
2277,35,Comedy
2277,18,Drama
2280,14,Fantasy
2280,18,Drama
2280,35,Comedy
2280,10749,Romance
2280,10751,Family
2282,18,Drama
2282,10749,Romance
2284,10751,Family
2284,14,Fantasy
2284,35,Comedy
2285,18,Drama
2286,12,Adventure
2286,14,Fantasy
2286,36,History
2287,99,Documentary
2288,18,Drama
2288,10749,Romance
2289,12,Adventure
2289,18,Drama
2289,36,History
2289,10749,Romance
2290,35,Comedy
2290,18,Drama
2290,36,History
2291,18,Drama
2291,9648,Mystery
2291,27,Horror
2292,35,Comedy
2293,10749,Romance
2293,35,Comedy
2294,35,Comedy
2295,35,Comedy
2296,80,Crime
2297,35,Comedy
2297,18,Drama
2297,9648,Mystery
2298,18,Drama
2299,18,Drama
2300,10751,Family
2300,16,Animation
2300,35,Comedy
2300,878,Science Fiction
2301,18,Drama
2302,18,Drama
2302,10751,Family
2303,35,Comedy
2304,10749,Romance
2304,80,Crime
2304,18,Drama
2306,18,Drama
2306,10752,War
2307,35,Comedy
2307,18,Drama
2307,10749,Romance
2309,12,Adventure
2309,10751,Family
2309,14,Fantasy
2310,12,Adventure
2310,28,Action
2310,16,Animation
2311,53,Thriller
2312,12,Adventure
2312,14,Fantasy
2312,28,Action
2312,18,Drama
2313,35,Comedy
2313,18,Drama
2313,10749,Romance
2314,18,Drama
2316,18,Drama
2316,10751,Family
2318,53,Thriller
2318,28,Action
2318,9648,Mystery
2319,14,Fantasy
2319,18,Drama
2319,878,Science Fiction
2319,10751,Family
2320,28,Action
2320,12,Adventure
2320,18,Drama
2320,53,Thriller
2321,35,Comedy
2321,80,Crime
2321,10749,Romance
2322,35,Comedy
2322,80,Crime
2322,18,Drama
2323,18,Drama
2323,14,Fantasy
2323,35,Comedy
2324,18,Drama
2325,10752,War
2325,18,Drama
2330,28,Action
2330,35,Comedy
2331,36,History
2331,18,Drama
2332,28,Action
2332,35,Comedy
2333,18,Drama
2334,28,Action
2334,35,Comedy
2335,28,Action
2335,35,Comedy
2336,35,Comedy
2337,35,Comedy
2337,80,Crime
2346,18,Drama
2348,35,Comedy
2348,80,Crime
2349,18,Drama
2355,18,Drama
2357,35,Comedy
2357,18,Drama
2358,35,Comedy
2358,80,Crime
2359,99,Documentary
2360,80,Crime
2360,35,Comedy
2361,36,History
2361,18,Drama
2362,12,Adventure
2362,878,Science Fiction
2362,37,Western
2363,18,Drama
2370,18,Drama
2370,53,Thriller
2371,28,Action
2371,18,Drama
2371,53,Thriller
2373,35,Comedy
2373,36,History
2374,18,Drama
2374,36,History
2375,18,Drama
2375,36,History
2376,35,Comedy
2376,18,Drama
2377,35,Comedy
2378,12,Adventure
2378,18,Drama
2378,53,Thriller
2379,18,Drama
2380,35,Comedy
2380,18,Drama
2381,18,Drama
2381,36,History
2382,18,Drama
2383,12,Adventure
2383,18,Drama
2383,10751,Family
2385,53,Thriller
2386,10770,TV Movie
2386,27,Horror
2386,878,Science Fiction
2387,35,Comedy
2388,18,Drama
2389,12,Adventure
2389,36,History
2390,53,Thriller
2391,18,Drama
2391,36,History
2391,10752,War
2392,80,Crime
2393,35,Comedy
2393,18,Drama
2394,18,Drama
2394,10751,Family
2395,14,Fantasy
2395,12,Adventure
2395,35,Comedy
2395,10751,Family
2397,28,Action
2397,878,Science Fiction
2398,18,Drama
2399,53,Thriller
2400,18,Drama
2400,10770,TV Movie
2400,36,History
2401,18,Drama
2401,10749,Romance
2402,18,Drama
2405,18,Drama
2405,36,History
2410,18,Drama
2411,18,Drama
2412,35,Comedy
2414,80,Crime
2415,18,Drama
2415,36,History
2416,36,History
2417,18,Drama
2417,10770,TV Movie
2417,80,Crime
2417,9648,Mystery
2417,53,Thriller
2428,18,Drama
2428,36,History
2429,18,Drama
2430,18,Drama
2431,18,Drama
2431,36,History
2431,10770,TV Movie
2433,10749,Romance
2433,35,Comedy
2433,18,Drama
2435,18,Drama
2435,53,Thriller
2435,10749,Romance
2436,28,Action
2436,12,Adventure
2436,35,Comedy
2437,35,Comedy
2438,10402,Music
2438,18,Drama
2440,10752,War
2440,18,Drama
2440,53,Thriller
2440,28,Action
2441,18,Drama
2441,9648,Mystery
2441,10749,Romance
2442,28,Action
2443,80,Crime
2443,9648,Mystery
2443,53,Thriller
2444,18,Drama
2444,35,Comedy
2447,18,Drama
2447,36,History
2448,35,Comedy
2449,18,Drama
2449,53,Thriller
2452,35,Comedy
2453,28,Action
2453,53,Thriller
2454,12,Adventure
2454,10751,Family
2454,14,Fantasy
2455,35,Comedy
2455,80,Crime
2455,9648,Mystery
2455,53,Thriller
2456,35,Comedy
2457,18,Drama
2457,10749,Romance
2459,35,Comedy
2459,10749,Romance
2460,18,Drama
2460,10749,Romance
2462,35,Comedy
2462,878,Science Fiction
2463,18,Drama
2463,28,Action
2463,53,Thriller
2463,80,Crime
2464,28,Action
2464,80,Crime
2464,53,Thriller
2469,35,Comedy
2469,80,Crime
2469,18,Drama
2469,10749,Romance
2470,35,Comedy
2470,18,Drama
2470,10749,Romance
2486,14,Fantasy
2486,28,Action
2486,12,Adventure
2486,10751,Family
2487,28,Action
2487,18,Drama
2487,53,Thriller
2493,12,Adventure
2493,10751,Family
2493,14,Fantasy
2493,35,Comedy
2493,10749,Romance
2501,28,Action
2501,18,Drama
2501,9648,Mystery
2501,53,Thriller
2502,28,Action
2502,18,Drama
2502,53,Thriller
2503,28,Action
2503,18,Drama
2503,9648,Mystery
2503,53,Thriller
2516,18,Drama
2517,18,Drama
2525,18,Drama
2525,10751,Family
2526,36,History
2527,18,Drama
2527,53,Thriller
2528,10749,Romance
2528,18,Drama
2536,18,Drama
2537,99,Documentary
2537,36,History
2538,35,Comedy
2539,35,Comedy
2546,35,Comedy
2546,14,Fantasy
2565,35,Comedy
2565,10749,Romance
2566,18,Drama
2567,18,Drama
2574,10749,Romance
2574,18,Drama
2575,18,Drama
2575,53,Thriller
2576,18,Drama
2576,36,History
2577,18,Drama
2577,878,Science Fiction
2577,53,Thriller
2587,10752,War
2587,18,Drama
2587,36,History
2588,35,Comedy
2588,18,Drama
2593,18,Drama
2594,35,Comedy
2594,18,Drama
2604,18,Drama
2604,10752,War
2605,35,Comedy
2605,10751,Family
2605,878,Science Fiction
2608,35,Comedy
2608,14,Fantasy
2609,35,Comedy
2610,35,Comedy
2610,18,Drama
2610,10749,Romance
2611,35,Comedy
2611,10749,Romance
2612,14,Fantasy
2612,35,Comedy
2612,878,Science Fiction
2612,10749,Romance
2613,18,Drama
2613,35,Comedy
2613,10749,Romance
2614,28,Action
2614,35,Comedy
2614,878,Science Fiction
2616,35,Comedy
2616,18,Drama
2616,10751,Family
2617,35,Comedy
2619,35,Comedy
2619,14,Fantasy
2619,10749,Romance
2620,28,Action
2620,35,Comedy
2620,80,Crime
2621,10749,Romance
2621,35,Comedy
2623,18,Drama
2623,10749,Romance
2625,18,Drama
2625,10749,Romance
2636,28,Action
2636,53,Thriller
2637,18,Drama
2637,27,Horror
2637,9648,Mystery
2639,35,Comedy
2639,18,Drama
2640,35,Comedy
2640,80,Crime
2642,35,Comedy
2642,10749,Romance
2644,28,Action
2644,35,Comedy
2645,28,Action
2645,35,Comedy
2646,28,Action
2646,35,Comedy
2647,28,Action
2648,28,Action
2649,18,Drama
2649,53,Thriller
2649,9648,Mystery
2652,18,Drama
2652,53,Thriller
2654,27,Horror
2654,9648,Mystery
2654,53,Thriller
2655,18,Drama
2655,27,Horror
2655,9648,Mystery
2655,53,Thriller
2657,14,Fantasy
2657,35,Comedy
2657,18,Drama
2661,10751,Family
2661,12,Adventure
2661,35,Comedy
2661,878,Science Fiction
2661,80,Crime
2662,27,Horror
2665,35,Comedy
2666,9648,Mystery
2666,878,Science Fiction
2667,27,Horror
2667,9648,Mystery
2668,18,Drama
2668,14,Fantasy
2668,53,Thriller
2668,9648,Mystery
2668,27,Horror
2669,28,Action
2669,18,Drama
2669,36,History
2671,27,Horror
2671,53,Thriller
2672,35,Comedy
2672,18,Drama
2674,35,Comedy
2675,18,Drama
2675,53,Thriller
2675,878,Science Fiction
2675,9648,Mystery
2687,878,Science Fiction
2687,35,Comedy
2687,14,Fantasy
2690,35,Comedy
2690,10749,Romance
2692,99,Documentary
2694,18,Drama
2694,10749,Romance
2696,35,Comedy
2696,18,Drama
2698,14,Fantasy
2698,35,Comedy
2698,10751,Family
2700,36,History
2700,18,Drama
2700,10770,TV Movie
2701,18,Drama
2701,12,Adventure
2701,36,History
2702,18,Drama
2703,12,Adventure
2703,18,Drama
2703,14,Fantasy
2707,18,Drama
2707,36,History
2707,12,Adventure
2712,36,History
2712,18,Drama
2712,10770,TV Movie
2718,80,Crime
2719,18,Drama
2721,18,Drama
2721,36,History
2721,53,Thriller
2722,18,Drama
2722,10749,Romance
2728,28,Action
2728,35,Comedy
2731,18,Drama
2731,10749,Romance
2732,18,Drama
2732,878,Science Fiction
2732,53,Thriller
2734,18,Drama
2734,36,History
2734,12,Adventure
2735,80,Crime
2740,99,Documentary
2742,80,Crime
2742,18,Drama
2747,35,Comedy
2748,18,Drama
2748,10749,Romance
2749,28,Action
2749,80,Crime
2749,53,Thriller
2750,35,Comedy
2750,18,Drama
2750,10402,Music
2751,16,Animation
2751,35,Comedy
2752,35,Comedy
2752,10749,Romance
2753,36,History
2753,18,Drama
2753,10752,War
2754,35,Comedy
2755,18,Drama
2755,35,Comedy
2756,12,Adventure
2756,28,Action
2756,53,Thriller
2756,878,Science Fiction
2757,35,Comedy
2757,80,Crime
2757,18,Drama
2758,35,Comedy
2758,10751,Family
2758,14,Fantasy
2759,18,Drama
2759,35,Comedy
2760,18,Drama
2760,53,Thriller
2761,9648,Mystery
2761,53,Thriller
2762,80,Crime
2762,10749,Romance
2762,53,Thriller
2764,18,Drama
2764,35,Comedy
2767,18,Drama
2767,10749,Romance
2768,80,Crime
2768,18,Drama
2768,9648,Mystery
2769,35,Comedy
2769,10402,Music
2769,10749,Romance
2770,35,Comedy
2770,10749,Romance
2771,35,Comedy
2771,18,Drama
2772,99,Documentary
2773,99,Documentary
2774,99,Documentary
2775,99,Documentary
2776,99,Documentary
2777,18,Drama
2778,35,Comedy
2779,35,Comedy
2779,80,Crime
2779,10749,Romance
2784,35,Comedy
2786,18,Drama
2786,53,Thriller
2787,53,Thriller
2787,878,Science Fiction
2787,28,Action
2788,18,Drama
2788,35,Comedy
2788,10749,Romance
2789,28,Action
2789,878,Science Fiction
2790,28,Action
2790,53,Thriller
2791,16,Animation
2791,28,Action
2791,878,Science Fiction
2791,53,Thriller
2792,35,Comedy
2793,12,Adventure
2796,35,Comedy
2797,18,Drama
2798,35,Comedy
2800,35,Comedy
2800,10749,Romance
2805,10749,Romance
2805,35,Comedy
2805,28,Action
2805,37,Western
2807,99,Documentary
2813,53,Thriller
2813,18,Drama
2813,80,Crime
2813,36,History
2814,35,Comedy
2815,35,Comedy
2817,18,Drama
2817,35,Comedy
2817,10749,Romance
2819,80,Crime
2820,53,Thriller
2821,18,Drama
2824,35,Comedy
2830,35,Comedy
2830,10749,Romance
2832,9648,Mystery
2832,53,Thriller
2837,35,Comedy
2837,18,Drama
2840,80,Crime
2840,10770,TV Movie
2840,18,Drama
2840,9648,Mystery
2841,18,Drama
2841,10749,Romance
2841,10752,War
2844,18,Drama
2844,36,History
2845,18,Drama
2846,18,Drama
2847,18,Drama
2848,18,Drama
2849,18,Drama
2851,18,Drama
2852,35,Comedy
2854,10402,Music
2855,35,Comedy
2855,878,Science Fiction
2856,18,Drama
2857,35,Comedy
2857,53,Thriller
2858,18,Drama
2859,35,Comedy
2860,18,Drama
2860,10749,Romance
2861,18,Drama
2861,35,Comedy
2861,10749,Romance
2863,878,Science Fiction
2882,10749,Romance
2882,18,Drama
2887,18,Drama
2887,10770,TV Movie
2890,99,Documentary
2891,18,Drama
2892,18,Drama
2892,10749,Romance
2893,18,Drama
2893,878,Science Fiction
2894,18,Drama
2894,36,History
2894,10749,Romance
2894,10752,War
2895,18,Drama
2896,80,Crime
2896,18,Drama
2897,12,Adventure
2897,35,Comedy
2897,10751,Family
2897,14,Fantasy
2897,10749,Romance
2898,35,Comedy
2898,10749,Romance
2899,10751,Family
2899,14,Fantasy
2899,35,Comedy
2899,12,Adventure
2900,18,Drama
2900,878,Science Fiction
2900,53,Thriller
2901,18,Drama
2903,18,Drama
2903,10749,Romance
2907,35,Comedy
2907,14,Fantasy
2908,14,Fantasy
2908,878,Science Fiction
2908,12,Adventure
2909,878,Science Fiction
2911,28,Action
2911,80,Crime
2911,36,History
2911,10752,War
2912,53,Thriller
2912,18,Drama
2912,9648,Mystery
2914,35,Comedy
2914,878,Science Fiction
2914,10749,Romance
2922,53,Thriller
2923,10749,Romance
2923,80,Crime
2923,18,Drama
2924,80,Crime
2924,18,Drama
2924,53,Thriller
2925,35,Comedy
2926,12,Adventure
2926,35,Comedy
2926,36,History
2927,878,Science Fiction
2928,35,Comedy
2928,18,Drama
2928,14,Fantasy
2929,27,Horror
2929,878,Science Fiction
2929,14,Fantasy
2956,27,Horror
2956,878,Science Fiction
2957,27,Horror
2957,878,Science Fiction
2958,27,Horror
2958,878,Science Fiction
2959,35,Comedy
2960,27,Horror
2960,878,Science Fiction
2961,27,Horror
2961,878,Science Fiction
2962,27,Horror
2962,878,Science Fiction
2963,12,Adventure
2963,35,Comedy
2963,14,Fantasy
2963,878,Science Fiction
2964,878,Science Fiction
2964,12,Adventure
2964,14,Fantasy
2965,12,Adventure
2965,28,Action
2965,878,Science Fiction
2965,10770,TV Movie
2967,878,Science Fiction
2967,27,Horror
2968,27,Horror
2968,878,Science Fiction
2969,18,Drama
2969,14,Fantasy
2969,878,Science Fiction
2969,27,Horror
2970,878,Science Fiction
2971,18,Drama
2971,878,Science Fiction
2971,10749,Romance
2971,27,Horror
2972,14,Fantasy
2972,27,Horror
2973,878,Science Fiction
2973,18,Drama
2973,14,Fantasy
2974,27,Horror
2974,53,Thriller
2976,35,Comedy
2976,10749,Romance
2976,18,Drama
2977,10749,Romance
2977,18,Drama
2978,35,Comedy
2978,14,Fantasy
2979,35,Comedy
2979,14,Fantasy
2979,878,Science Fiction
2981,12,Adventure
2981,14,Fantasy
2981,18,Drama
2982,12,Adventure
2982,14,Fantasy
2982,878,Science Fiction
2983,12,Adventure
2983,14,Fantasy
2983,878,Science Fiction
2984,35,Comedy
2984,10749,Romance
2985,18,Drama
2985,53,Thriller
2986,28,Action
2986,80,Crime
2987,18,Drama
2987,36,History
2988,18,Drama
2988,10749,Romance
2989,12,Adventure
2989,35,Comedy
2989,53,Thriller
2990,53,Thriller
2991,53,Thriller
2992,27,Horror
2992,53,Thriller
2993,9648,Mystery
2993,53,Thriller
2994,28,Action
2994,35,Comedy
2994,80,Crime
2995,28,Action
2995,35,Comedy
2995,18,Drama
2995,53,Thriller
2996,878,Science Fiction
2996,10770,TV Movie
2997,10770,TV Movie
2997,12,Adventure
2997,878,Science Fiction
2998,18,Drama
2998,10749,Romance
